year,month,day,hour,minute,second,latitude,longitude,depth,mag_type,magnitude,time
2022,1,4,11,32,3.09,29.219,105.84,17,ML,1.7,2022-01-04 11:32:03.090
2022,1,4,11,35,50.64,23.537,103.143,6,ML,1.5,2022-01-04 11:35:50.640
2022,1,4,12,40,7.04,23.639,102.914,8,ML,0.9,2022-01-04 12:40:07.040
2022,1,4,12,42,21.65,28.437,104.757,6,ML,0.7,2022-01-04 12:42:21.650
2022,1,4,13,13,58.22,23.509,101.778,10,ML,1.2,2022-01-04 13:13:58.220
2022,1,4,13,20,47.95,27.834,100.569,10,ML,1.0,2022-01-04 13:20:47.950
2022,1,4,13,39,29.44,29.435,104.703,15,ML,0.7,2022-01-04 13:39:29.440
2022,1,4,13,43,46.7,27.811,100.554,10,ML,1.5,2022-01-04 13:43:46.700
2022,1,4,13,47,28.22,24.792,101.979,10,ML,1.1,2022-01-04 13:47:28.220
2022,1,4,14,24,14.52,25.289,101.261,34,ML,2.0,2022-01-04 14:24:14.520
2022,1,4,14,33,12.81,29.961,101.877,8,ML,1.8,2022-01-04 14:33:12.810
2022,1,4,14,39,41.43,27.816,100.645,9,ML,1.0,2022-01-04 14:39:41.430
2022,1,4,15,7,26.38,27.826,100.635,9,ML,0.8,2022-01-04 15:07:26.380
2022,1,4,15,12,8.2,29.181,105.593,5,ML,1.1,2022-01-04 15:12:08.200
2022,1,4,15,23,26.27,27.821,100.556,9,ML,1.3,2022-01-04 15:23:26.270
2022,1,4,15,45,53.48,29.642,104.653,2,ML,2.4,2022-01-04 15:45:53.480
2022,1,4,16,30,33.54,27.851,100.587,6,ML,1.5,2022-01-04 16:30:33.540
2022,1,4,16,40,48.1,29.959,101.884,7,ML,1.5,2022-01-04 16:40:48.100
2022,1,4,16,52,9.89,28.398,104.799,15,ML,1.4,2022-01-04 16:52:09.890
2022,1,4,16,58,52.24,28.179,105.056,15,ML,1.4,2022-01-04 16:58:52.240
2022,1,4,17,4,39.99,27.817,100.645,6,ML,0.6,2022-01-04 17:04:39.990
2022,1,4,17,8,17.26,26.788,102.961,13,ML,1.6,2022-01-04 17:08:17.260
2022,1,4,17,26,20.34,27.828,100.634,6,ML,1.0,2022-01-04 17:26:20.340
2022,1,4,17,38,18.11,27.806,100.667,6,ML,0.5,2022-01-04 17:38:18.110
2022,1,4,17,41,44.64,29.634,104.666,5,ML,1.0,2022-01-04 17:41:44.640
2022,1,4,19,23,8.5,25.259,101.664,21,ML,1.4,2022-01-04 19:23:08.500
